Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Source,EID
"Leal Filho W., Totin E., Franke J.A., Andrew S.M., Abubakar I.R., Azadi H., Nunn P.D., Ouweneel B., Williams P.A., Simpson N.P., The Global Adaptation Mapping Initiative Team","Understanding responses to climate-related water scarcity in Africa",2022,"Science of the Total Environment","806",,"150420","","",,"10.1016/j.scitotenv.2021.150420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115655911&doi=10.1016%2fj.scitotenv.2021.150420&partnerID=40&md5=17d7ca64866c0984f4123ed451d6b7b6","Water scarcity is a global challenge, yet existing responses are failing to cope with current shocks and stressors, including those attributable to climate change. In sub-Saharan Africa, the impacts of water scarcity threaten livelihoods and wellbeing across the continent and are driving a broad range of adaptive responses. This paper describes trends of water scarcity for Africa and outlines climate impacts on key water-related sectors on food systems, cities, livelihoods and wellbeing, conflict and security, economies, and ecosystems. It then uses systematic review methods, including the Global Adaptation Mapping Initiative, to analyse 240 articles and identify adaptation characteristics of planned and autonomous responses to water scarcity across Africa. The most common impact drivers responded to are drought and participation variability. The most frequently identified actors responding to water scarcity include individuals or households (32%), local government (15%) and national government (15%), while the most common types of response are behavioural and cultural (30%), technological and infrastructural (27%), ecosystem-based (25%) and institutional (18%). Most planned responses target low-income communities (31%), women (20%), and indigenous communities (13%), but very few studies target migrants, ethnic minorities or those living with disabilities. There is a lack of coordination of planned adaptation at scale across all relevant sectors and regions, and lack of legal and institutional frameworks for their operation. Most responses to water scarcity are coping and autonomous responses that showed only minor adjustments to business-as-usual water practices, suggesting limited adaptation depth. Maladaptation is associated with one or more dimension of responses in almost 20% of articles. Coordinating institutional responses, carefully planned technologies, planning for projected climate risks including extension of climate services and increased climate change literacy, and integrating indigenous knowledge will help to address identified challenges of water scarcity towards more adaptive responses across Africa. © 2021 Elsevier B.V.","Africa; Autonomous adaptation; Global Adaptation Mapping Initiative; Local and indigenous knowledge; Planned adaptation; Water scarcity","Ecosystems; Mapping; Adaptive response; Africa; Autonomous adaptation; Autonomous response; Global adaptation mapping initiative; Indigenous knowledge; Local knowledge; Planned adaptation; Water scarcity; Wellbeing; Climate change; indigenous knowledge; indigenous population; mapping method; water management; water planning; water supply; adaptation; Africa; climate; climate change; conflict; disability; drought; ecosystem; environmental impact; ethnic group; government; human; lowest income group; Review; security; society; trend study; water insecurity; wellbeing; Africa south of the Sahara; ecosystem; Africa; Adaptation, Physiological; Africa South of the Sahara; Climate Change; Ecosystem; Humans; Water Insecurity",Review,"Final",Scopus,2-s2.0-85115655911
"Ly K., Metternicht G., Marshall L.","Transboundary river basins: Scenarios of hydropower development and operation under extreme climate conditions",2022,"Science of the Total Environment","803",,"149828","","",,"10.1016/j.scitotenv.2021.149828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114247310&doi=10.1016%2fj.scitotenv.2021.149828&partnerID=40&md5=1962409e42812f4c8ff922a19df5ccc2","Transboundary river basins across developing countries, such as the Lower Mekong River Basin (LMB), are challenging to manage given frequent divergences on development and conservation priorities. Driven by needs to sustain economic performance and reduce poverty, the LMB countries are embarking on significant land use changes in the form of more hydropower dams, to satisfy growing energy demands. This pathway could lead to irreversible changes to the ecosystem of the Mekong River, if not properly managed. Given the uncertain environmental externalities and trade-offs associated with further hydropower development and operation in the LMB, this research develops four plausible scenarios of future hydropower operation, and assesses their likely impact on streamflow and instream total suspended solids and nitrate loads of the Mekong River. The findings suggest that further hydropower operations on either tributary or mainstream could result in annual and wet season flow reduction between 11 and 25% while increase dry season flows by 1 to 15%, when compared to a business-as-usual scenario. Conversely, hydropower operation on both tributary and mainstream could result in dry season flow reduction between 10 and 15%. Both instream TSS and nitrate loads are forecasted to reduce under all three scenarios by as much as 78 and 20%, respectively, compared to the business-as-usual one. These effects are predicted to magnify under extreme climate conditions with dry season flow, TSS, and nitrate levels reduced by as much as 44, 81 and 35%, respectively, during a projected extreme dry climate condition, but less severe under improved operational alternatives. With further hydropower development in the LMB being highly unavoidable, these findings can inform effective transboundary management pathways for balancing electricity generation and protection of riverine ecology, water and food security, and people livelihoods. © 2018 Elsevier B.V.","eWater's source modelling framework; Lower Mekong Basin; Nitrate; Streamflow; Total suspended solids; Transboundary river basin management","Developing countries; Drought; Ecology; Economic and social effects; Food supply; Hydroelectric power; Land use; Nitrates; Rivers; Stream flow; Water management; Climate condition; Dry seasons; Ewater source modeling framework; Hydro-power development; Low mekong basin; Mekong river basins; River basins; Total suspended solids; Transboundary river basin management; Transboundary rivers; Watersheds; nitrate; nitric acid derivative; electricity generation; extreme event; hydroelectric power plant; nitrate; river basin; river management; streamflow; transboundary cooperation; Article; climate; controlled study; dry season; ecosystem; extreme environment; food security; hydropower; prediction; rainy season; reduction (chemistry); river basin; stream (river); suspended particulate matter; uncertainty; climate change; ecosystem; human; river; Mekong Basin; Climate; Climate Change; Ecosystem; Humans; Nitrates; Rivers",Article,"Final",Scopus,2-s2.0-85114247310
"Rajulapati C.R., Abdelmoaty H.M., Nerantzaki S.D., Papalexiou S.M.","Changes in the risk of extreme temperatures in megacities worldwide",2022,"Climate Risk Management","36",,"100433","","",,"10.1016/j.crm.2022.100433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129546930&doi=10.1016%2fj.crm.2022.100433&partnerID=40&md5=e8e3c677ec24e851d85af6bb99586812","Globally, extreme temperatures have severe impacts on the economy, human health, food and water security, and ecosystems. Mortality rates have been increased due to heatwaves in several regions. Specifically, megacities have high impacts with the increasing temperature and ever-expanding urban areas; it is important to understand extreme temperature changes in terms of duration, magnitude, and frequency for future risk management and disaster mitigation. Here we framed a novel Semi-Parametric quantile mapping method to bias-correct the CMIP6 minimum and maximum temperature projections for 199 megacities worldwide. The changes in maximum and minimum temperature are quantified in terms of climate indices (ETCCDI and HDWI) for the four Shared Socioeconomic Pathways (SSP1-2.6, SSP2-4.5, SSP3-7.0, and SSP5-8.5). Cities in northern Asia and northern North America (Kazan, Samara, Heihe, Montréal, Edmonton, and Moscow) are warming at a higher rate compared to the other regions. There is an increasing and decreasing trend for the warm and cold extremes respectively. Heatwaves increase exponentially in the future with the increase in warming, that is, from SSP1-2.6 to SSP5-8.5. Among the CMIP6 models, a huge variability is observed, and this further increases as the warming increases. All climate indices have steep slopes for the far future (2066–2100) compared to the near future (2031–2065). Yet the variability among CMIP6 models in near future is high compared to the far future for cold indices. © 2022","CMIP6 projections; ETCCDI indices; Extreme temperature; Heatwaves; Megacities; Temperature trends",,Article,"Final",Scopus,2-s2.0-85129546930
"Oswald-Spring Ú.","Decolonizing peace with a gender perspective",2022,"Journal of Aggression, Conflict and Peace Research",,,,"","",,"10.1108/JACPR-01-2022-0678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126366088&doi=10.1108%2fJACPR-01-2022-0678&partnerID=40&md5=a99214b3ec8a6e020d7edbb2583874ce","Purpose: This paper aims to analyze a decolonized peace with gender perspective. Liberal democracies had consolidated on conquest, slavery, racism, sexism, colonialism, raw material extraction and female exploitation. Additional burdens came from neoliberal globalization with the massive burning of fossil oil, changing the Earth's history from the Holocene toward the Anthropocene. Multiple nexus between the human and environmental system requires an epistemology from the Global South. The paper explores alternative peace paradigms enabling poor and exploited people to overcome the destructive outcomes of patriarchal violence and extractivism. Regionally and locally, they are experimenting with just, safe, equal and sustainable alternatives of free societies. Design/methodology/approach: The nexus approach focuses on system efficiency, internal and external feedbacks and allows decision-making processes with stronger cross-sectoral coordination and multi-level governance. It includes the understanding of the policy agenda and the political actors at different levels, explaining the discrimination of gender from local to global. The analysis establishes complex relations between theory and political actions, due that all actions are inherently mediated by gender. A key focus is a relationship and the outcomes of policies, where communication and collaboration at the local level grant efficient peaceful resource management with gender equity. Findings: An engendered-sustainable peace approach is culturally decentralized and may offer alternatives to the ongoing destruction process of neoliberal corporatism and violence. Drastic systemic change requires massive changes from bottom-up and top-down before 2030–2050. Global solidarity among all excluded people, especially women and girls, promotes from childhood an engendered-sustainable peace-building process, where positive feedbacks may reduce the tipping points on Earth and among humankind. Engendered-sustainable peace can mitigate the upcoming conflicts and catastrophes, limiting the negative feedbacks from abusive, selfish and destructive corporations. A greater self-regulating sustainable system with a HUGE-security could promote a decolonized, engendered and sustainable peace for everybody. Research limitations/implications: The interconnected risks are cascading across different domains, where systemic challenges have intensified conflicts and violence, due to uncertainty, instability and fragility. Cascading effects not only demand prevention for sudden disruptions (hurricanes, floods) but also for slow-ongoing processes (drought, sea-level rise, lack of water availability, etc.), which are equally or more disruptive. Women suffer differently from disasters and are prone to greater impacts on their life and livelihood. An engendered peace is limited by the deep engrained patriarchal system. Only a culture of peace with gender recognition may grant future peace and also the sustainable care of ecosystems. Practical implications: The Global South is exploring alternative ways to overcome the present violent and destructive globalization by promoting deep engrained indigenous values of Aymaras’ living well, the shell model of commanding by obeying of the Zapatistas or Bhutan’s Happiness Index. Globally, critical women and men are promoting subsistence agriculture, solidarity or gift economy, where local efforts are restoring the equilibrium between humans and nature. An engendered-sustainable peace is limiting the destructive impacts of the Anthropocene, climate change and ongoing pandemics. Social implications: An engendered-sustainable peace is culturally decentralized and offers alternatives to the ongoing destruction process of neoliberal corporatism, climate change and violence. The text explores how to overcome the present hybrid warfare with alternative HUGE security and peace from the bottom-up. Regional reinforcement of food security, safe water management, local jobs and a concordian economy for the most vulnerable may change the present exploitation of nature and humankind. Growing solidarity with people affected by disasters is empowering women and girls and dismantling from the bottom-up, the dominant structures of violence and exploitation. Originality/value: The military-industrial-scientific corporate complex and the exploitation of women, men and natural resources, based on patriarchy, has produced climate change, poverty and global pandemics with millions of unnecessary deaths and suffering. A doughnut engendered peace looking from the outside and inside of the system of globalization and environmental destruction proposes to overcome the growth addiction by a growth agnostic society. Engendered peace explores alternative and sustainable values that go beyond the dominant technological changes. It includes a culturally, politically and institutionally ingrained model where everybody is a participant, reinforcing an engendered-sustainable peace and security for everybody. © 2022, Emerald Publishing Limited.","Anthropocene; Decolonizing peace; Engendered-sustainable peace; Global South; HUGE peace and security; Systemic alternatives",,Article,"Article in Press",Scopus,2-s2.0-85126366088
"Agnoletti M., Pelegrín Y.M., Alvarez A.G.","The traditional agroforestry systems of Sierra del Rosario and Sierra Maestra, Cuba",2022,"Biodiversity and Conservation",,,,"","",,"10.1007/s10531-021-02348-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124738654&doi=10.1007%2fs10531-021-02348-8&partnerID=40&md5=564d3580d3fe5b6064578487e87f1210","Traditional coffee cultivation in Cuba is the result of a complex interaction between different flora species creating agroforestry systems widely spread in mountainous area. The systems, product of local traditional knowledge, are mainly devoted to coffee production but, thanks to the interaction with other species, farmers provide different food products both for self-consumption and to be sold. Furthermore, the adoption of shade trees in order to reach a better quality of the coffee cultivated creates particular microclimate conditions favorable for microorganisms, fauna species and also for spontaneous flora species. According to this it is clear the relationships between traditional knowledge and biodiversity preservation which is fundamental also for improving the surrounding environment, avoiding floods or hydrogeological instability damages, concurring to climate change mitigation and carbon storage. Traditional agroforestry systems are one of the best example of coexistence and coevolution between man and nature, being an historical system adopted by local communities to satisfy their needs in total respect of the surrounding environment. Considering this, the promotion and maintenance of this kind of systems and knowledge related might constitute a valid example to actively preserve biodiversity while respecting human needs for food and livelihood security. These systems are also of particular importance considering the importance of coffee as a beverage served in many countries of the world, but often produced in intensive plantations. This paper shows the high sustainability of coffee production under the shade of trees and support a new concept of food quality contributing to preserve local cultures and environments. © 2022, The Author(s).","Agricultural heritage; Agrobiodiversity; Agroforestry; Coffee; Traditional knowledge",,Article,"Article in Press",Scopus,2-s2.0-85124738654
"Morri E., Santolini R.","Ecosystem Services Valuation for the Sustainable Land Use Management by Nature-Based Solution (NbS) in the Common Agricultural Policy Actions: A Case Study on the Foglia River Basin (Marche Region, Italy)",2022,"Land","11","1","57","","",,"10.3390/land11010057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122236934&doi=10.3390%2fland11010057&partnerID=40&md5=f1f62231b304822e629a078aec9ef1c2","Agricultural land is a very important ecosystem that provides a range of services like food, maintenance of soil structure, and hydrological services with high ecological value to human wellbeing Ecosystem Services (ESs). Understanding the contribution of different agricultural practices to supply ESs would help inform choices about the most beneficial land use management. Nature-based Solutions (NbS) are defined by IUCN (International Union for Conservation of Nature) as actions to protect, sustainably manage and restore natural or modified ecosystems, which address societal challenges (e.g., climate change, food and water security, or natural disasters) effectively and adaptively, while simultaneously providing human wellbeing and biodiversity benefits. Some actions farmers can implement in the new Rural Development Programs (RDP 2021–2022 and 2023–2027) can be considered as NbS and could affect the quantity, quality, and time of some ESs related to water regulation and supply, N adsorption and erosion protection. This study aims to evaluate these ESs in different scenarios in the upper Foglia river basin (Italy) and at a local scale (farming), and to highlight the issue to compensate farmers for the production of public goods which benefit the whole society (ESs) by the implementation of RDP’s actions. These scenarios highlight how actions have positive effects on ecosystem services and their economic value related to land use management, on maintaining agricultural practices by integrating Water Frame Directive (2000/60/EC), Directive 2007/60/EC on the management of flood risks and highlighting the potential role of farmers in a high diversity landscape. This study highlights a new way to evaluate the processes of natural capital in the production of public goods, which benefits the whole society (ESs), by emphasizing the economic and environmental role of farmers in producing them and putting on the table data to trigger a PES (Payment for Ecosystem Services) mechanism. To facilitate decision making, robust decision support tools are needed, underpinned by comprehensive cost-benefit analyses and spatially modeling in which agriculture can be a strategic sector to optimize food production and environmental protection in harmony with the Farm to Fork (F2F) strategy. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Conservative agriculture; Ecosystem services; Erosion protection; N balance; Nature-based solutions; Water regulation and supply",,Article,"Final",Scopus,2-s2.0-85122236934
"Stavi I., Paschalidou A., Kyriazopoulos A.P., Halbac-Cotoara-zamfir R., Siad S.M., Suska-Malawska M., Savic D., de Pinho J.R., Thalheimer L., Williams D.S., Hashimshony-Yaffe N., van der Geest K., Cordovil C.M.D.S., Ficko A.","Multidimensional food security nexus in drylands under the slow onset effects of climate change",2021,"Land","10","12","1350","","",,"10.3390/land10121350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121612808&doi=10.3390%2fland10121350&partnerID=40&md5=1bb7f0fd10cff70391ff1a991e027a5e","Hyperarid, arid, semiarid, and dry subhumid areas cover approximately 41% of the global land area. The human population in drylands, currently estimated at 2.7 billion, faces limited access to sufficient, affordable, and nutritious food. We discuss the interlinkages among water security, environmental security, energy security, economic security, health security, and food security governance, and how they affect food security in drylands. Reliable and adequate water supply, and the prevention of water contamination, increase the potential for ample food, fodder, and fiber production. Protecting woodlands and rangelands increases food security by buffering the slow onset effects of climate change, including biodiversity loss, desertification, salinization, and land degradation. The protection of natural lands is expected to decrease environmental contamination, and simultaneously, reduce the transfer of diseases from wildlife to humans. Biofuel production and hydroelectric power plants increase energy security but generate land-use conflicts, deforestation, and ecosystem degradation. Economic security generally positively correlates with food security. However, economic growth often degrades the environment, changes tenure rights over natural resources, and stimulates migration to urban areas, resulting in lower food and health security. Moreover, civil unrest, political instability, and armed conflicts disrupt local economies in drylands. Maintaining food security is crucial for health security; conversely, malnourished populations and unresponsive health systems decrease economic security, and adversely affect environmental, energy, and food security. Climate change is expected to deteriorate health security by spreading vector-borne diseases. Effective governance and timely interventions can substantially shorten periods of food insecurity, lower their intensities, and accelerate recovery from inevitable crises, and are therefore crucial in preventing humanitarian crises. Since global drylands population will nearly double by 2050, and since drylands are among the most susceptible areas to climate change, integrated multi-hazard approaches to food security are needed. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Climatic change; Land-use and management; Loss and damage; Natural vs. anthropogenic factors; Population growth and urbanization; Slow onset events",,Review,"Final",Scopus,2-s2.0-85121612808
"Pope D.H., Karlsson J.O., Baker P., McCoy D.","Examining the environmental impacts of the dairy and baby food industries: Are first-food systems a crucial missing part of the healthy and sustainable food systems agenda now underway?",2021,"International Journal of Environmental Research and Public Health","18","23","12678","","",,"10.3390/ijerph182312678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120310633&doi=10.3390%2fijerph182312678&partnerID=40&md5=be532d672502df18b0406f7a4080c7c4","Food systems are increasingly being understood as driving various health and ecological crises and their transformation is recognised as a key opportunity for planetary health. First-food systems represent an underexplored aspect of this transformation. Despite breastfeeding representing the optimal source of infant nutrition, use of commercial milk formula (CMF) is high and growing rapidly. In this review, we examine the impact of CMF use on planetary health, considering in particular its effects on climate change, water use and pollution and the consequences of these effects for human health. Milk is the main ingredient in the production of CMF, making the role of the dairy sector a key area of attention. We find that CMF use has twice the carbon footprint of breastfeeding, while 1 kg of CMF has a blue water footprint of 699 L; CMF has a significant and harmful environmental impact. Facilitation and protection of breastfeeding represents a key part of developing sustainable first-food systems and has huge potential benefits for maternal and child health. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Breast milk; Climate change; Commercial milk formula; Environment; Water use","breastfeeding; carbon footprint; child health; climate change; dairy farming; environmental impact; environmental impact assessment; food industry; maternal health; sustainable development; water use; air pollution; artificial milk; baby food industry; biodiversity; breast feeding; carbon footprint; child health; climate change; dairy industry; environmental health; environmental impact; environmental impact assessment; first food system; food industry; food security; greenhouse effect; healthy food system; human; land use; land use change; maternal welfare; nutrition; planetary health; Review; soil; soil health; sustainable food system; water and water related phenomena; water footprint; water pollution; water use; animal; baby food; breast feeding; child; female; food industry; infant; milk; Animals; Breast Feeding; Carbon Footprint; Child; Female; Food Industry; Humans; Infant; Infant Food; Milk",Review,"Final",Scopus,2-s2.0-85120310633
"Walton M., Guest D., Raynes-Greenow C.","One planet one health: What about the kids?",2021,"Journal of Paediatrics and Child Health","57","11",,"1741","1744",,"10.1111/jpc.15758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119300800&doi=10.1111%2fjpc.15758&partnerID=40&md5=e95fa42abc080b3916642dab3299996f","Humans in their increasing numbers and wealth are changing ecosystems through accelerated consumption of food, natural resources and energy which continue to cause significant damage to the planet. Using ‘stunting in children’ as a case study, we show how the traditional siloed (specialist) approaches have failed to reduce stunting world-wide. Despite significant effort, traditional approaches fail to appreciate the interconnectedness of the multiple factors that underpin stunting. We will not improve the lives of the millions of children living in poverty by doing the same things we have always done, rather we need to adopt approaches that recognise the interconnectedness of all the component parts and apply One Health methods designed to solve these intractable problems. © 2021 Paediatrics and Child Health Division (The Royal Australasian College of Physicians).",,"agricultural procedures; child health care; child nutrition; climate change; conflict; cooperation; coronavirus disease 2019; ecosystem; energy consumption; environmental health; environmental sanitation; environmental temperature; food intake; food security; household income; human; hunger; interdisciplinary communication; malnutrition; natural resource; Note; One Health; population size; poverty; social status; socioeconomics; stunting; violence; water quality; astronomy; child; growth disorder; infant; Child; Ecosystem; Growth Disorders; Humans; Infant; One Health; Planets; Poverty",Note,"Final",Scopus,2-s2.0-85119300800
"Silva V., Alaoui A., Schlünssen V., Vested A., Graumans M., van Dael M., Trevisan M., Suciu N., Mol H., Beekmann K., Figueiredo D., Harkes P., Hofman J., Kandeler E., Abrantes N., Campos I., Martínez M.Á., Pereira J., Goossens D., Gandrass J., Debler F., Lwanga E., Jonker M., van Langevelde F., Sorensen M.T., Wells J.M., Boekhorst J., Huss A., Mandrioli D., Sgargi D., Nathanail P., Nathanail J., Tamm L., Fantke P., Mark J., Grovermann C., Frelih-Larsen A., Herb I., Chivers C.-A., Mills J., Alcon F., Contreras J., Baldi I., Pasković I., Matjaz G., Norgaard T., Aparicio V., Ritsema C.J., Geissen V., Scheepers P.T.J.","Collection of human and environmental data on pesticide use in Europe and Argentina: Field study protocol for the SPRINT project",2021,"PLoS ONE","16","11 November","e0259748","","",,"10.1371/journal.pone.0259748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119250505&doi=10.1371%2fjournal.pone.0259748&partnerID=40&md5=e6afc92bea45b2a1f6f51bf3e04f4c81","Current farm systems rely on the use of Plant Protection Products (PPP) to secure high productivity and control threats to the quality of the crops. However, PPP use may have considerable impacts on human health and the environment. A study protocol is presented aiming to determine the occurrence and levels of PPP residues in plants (crops), animals (livestock), humans and other non-target species (ecosystem representatives) for exposure modelling and impact assessment. To achieve this, we designed a cross-sectional study to compare conventional and organic farm systems across Europe. Environmental and biological samples were/are being/will be collected during the 2021 growing season, at 10 case study sites in Europe covering a range of climate zones and crops. An additional study site in Argentina will inform the impact of PPP use on growing soybean which is an important European protein-source in animal feed. We will study the impact of PPP mixtures using an integrated risk assessment methodology. The fate of PPP in environmental media (soil, water and air) and in the homes of farmers will be monitored. This will be complemented by biomonitoring to estimate PPP uptake by humans and farm animals (cow, goat, sheep and chicken), and by collection of samples from non-target species (earthworms, fish, aquatic and terrestrial macroinvertebrates, bats, and farm cats). We will use data on PPP residues in environmental and biological matrices to estimate exposures by modelling. These exposure estimates together with health and toxicity data will be used to predict the impact of PPP use on environment, plant, animal and human health. The outcome of this study will then be integrated with socio-economic information leading to an overall assessment used to identify transition pathways towards more sustainable plant protection and inform decision makers, practitioners and other stakeholders regarding farming practices and land use policy. © 2021 Silva et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"pesticide; water; pesticide; adult; agricultural worker; air; animal food; aquatic species; Argentina; Article; bat; biological monitoring; cat; chicken; climate; clinical protocol; controlled study; cow; crop; cross-sectional study; drug use; earthworm; ecosystem; ecotoxicity; environmental exposure; environmental impact; environmental monitoring; Europe; female; fish; goat; home; human; livestock; macroinvertebrate; male; nonhuman; organic farming; prediction; risk assessment; sheep; socioeconomics; soil; animal; metabolism; Animals; Argentina; Crops, Agricultural; Ecosystem; Europe; Humans; Pesticides",Article,"Final",Scopus,2-s2.0-85119250505
"Sarkar D., Dubey P.K., Chaurasiya R., Sankar A., Shikha, Chatterjee N., Ganguly S., Meena V.S., Meena S.K., Parewa H.P., Rakshit A.","Organic interventions conferring stress tolerance and crop quality in agroecosystems during the United Nations Decade on Ecosystem Restoration",2021,"Land Degradation and Development","32","17",,"4797","4816",,"10.1002/ldr.4094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116399848&doi=10.1002%2fldr.4094&partnerID=40&md5=14bd756cc2ba93f6a214ff434992d4ab","Excessive use of synthetic chemicals in conventional agriculture largely degraded the agroecosystems that constitute approximately 40% of the global terrestrial ecosystems. Moreover, changing climate resulted in a substantial loss in agricultural productivity (both in quantity and in quality) mainly due to diverse abiotic and biotic stresses. This draws public awareness about depleting natural resources, viz., soil, land, and water due to unsustainable agricultural practices and equivalently concerns for food-related animal and human health risks. Modern organic agriculture has shown positive impacts in terms of food/biomass production, climate resilience, soil health, biodiversity, nutritional security, and good quality of life; and is of prodigious demand for nutrient-rich organic food products. In the ensuing decade, owing to the principal focus for the quality aspects or health benefits of organic agriculture, this review explores how organic interventions affect the nutritional value and yield quality in a production system; enable plants to adapt to adverse futuristic environmental conditions, and address the global food and nutritional security challenges. The chronological emergence, current global status, public perceptions, and key components of organic agriculture with their attached health benefits are inextricably synthesized herein. Fostering the ethos of organic agriculture under the UN Decade on Ecosystem Restoration (2021–2030) is highly imperative for agroecosystem restoration and its sustainable management. Moreover, the multidimensional paybacks of organic agriculture help in attaining important global goals and targets such as the Bonn Challenge and United Nations Sustainable Development Goals (UN-SDGs) by the year 2030. Therefore, invigorating the escalation of organic farming as a concurrent strategy of soil, land, and ecosystem restoration is the need of the hour. © 2021 John Wiley & Sons, Ltd.","degraded agroecosystems; land restoration; nutritional quality; organic agriculture; soil health; UN-SDGs","Agricultural robots; Agriculture; Biodiversity; Food supply; Health; Health risks; Planning; Productivity; Restoration; Soils; Sustainable development; Agro-ecosystems; Degraded agroecosystem; Ecosystem restoration; Land restoration; Nutritional qualities; Organic agriculture; Organics; Soil health; United nation sustainable development goal; United Nations; Ecosystems; agricultural ecosystem; crop production; environmental restoration; land degradation; nutrition; organic farming; soil; stress resistance; Sustainable Development Goal; United States",Review,"Final",Scopus,2-s2.0-85116399848
"Álvarez-García C., López-Medina I.M., Sanz-Martos S., Álvarez-Nieto C.","Planetary health: Education for sustainable healthcare [Salud planetaria: educación para una atención sanitaria sostenible]",2021,"Educacion Medica","22","6",,"352","357",,"10.1016/j.edumed.2021.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115941838&doi=10.1016%2fj.edumed.2021.08.001&partnerID=40&md5=492d3e8f18b58e1cec4c27a44db5faa1","The “2030 Sustainable Development Goals” outline the need for education for sustainable development to sustain planetary health. Thus, higher education institutions that train health professionals should consider embedding competencies to promote planetary health. Competencies for achieving planetary health include displacement due to climate change, vulnerable populations such as children, the elderly or the poorest, water and food security, the burden of infectious diseases, catastrophes such as floods or extreme temperatures, air pollutants, or mental health effects. Therefore, education for sustainable development aims to provide students with the knowledge, skills and attitudes to be effective in addressing global health challenges, such as the interdependence of ecosystems and human health, including the effects of environmental change on health, as well as the impact of the health sector and its dependence on the environment. Some European universities have already started to make the training of health professionals more sustainable and are examples of the steps that need to be taken. © 2021","Climate change; Education for health professionals; Education for sustainable development; Environmental health education; Higher education; Planetary health",,Article,"Final",Scopus,2-s2.0-85115941838
"Baggio G., Qadir M., Smakhtin V.","Freshwater availability status across countries for human and ecosystem needs",2021,"Science of the Total Environment","792",,"148230","","",,"10.1016/j.scitotenv.2021.148230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108107822&doi=10.1016%2fj.scitotenv.2021.148230&partnerID=40&md5=7517593c0802c0d6494674a70a13ddc1","Water demand is expected to continue rising to support growing population, particularly in water-stressed countries and regions. Amid competitive water needs for agricultural, domestic, and industrial sectors, water allocations for environmental requirements are critical to ensure the sustainability of the ecosystems. This study takes stock of water availability trends per capita across countries and proposes a water scarcity indicator to quantify the amount of water available for agricultural, domestic, and industrial activities after the needs of freshwater ecosystems (environmental flow requirements, EFR) are ideally fulfilled. The study reveals that by 2050, 87 out of 180 countries will have annual renewable water resources (ARWR) per capita below 1700 m3/year. The number of countries with absolute water scarcity – ARWR per capita below 500 m3/year is projected to increase from 25 in 2015 to 45 by 2050. Population growth is projected to cause a sharp decline in water availability in many low-income and lower-middle-income countries, while economic development will push water use upwards, making the water supply gap more complicated and challenging to address. After the Middle East and North Africa region, Sub-Saharan Africa is expected to become the next hotspot of water scarcity along with several countries from Asia. In response, water-scarce countries need to promote water conservation, water recycling, and reuse; ensure sustainable water resources augmentation via harnessing the potential of unconventional water resources; support productivity enhancement of underperforming land and water resources; and address challenges beyond technical solutions. Pertinent political agenda and associated public policies, supportive institutions, institutional collaborations, and skilled professionals would be the key to ensure sufficient water supply for human use and ecosystems. © 2021","Dry areas; Ecosystems; Environmental flows; SDG 6; Unconventional water resources","Agriculture; Population statistics; Sustainable development; Wastewater reclamation; Water conservation; Water recycling; Water resources; Water supply; Dry areas; Environmental flow; Fresh Water; Per capita; SDG 6; Unconventional water resource; Water availability; Water demand; Water scarcity; Waters resources; Ecosystems; fresh water; fresh water; Sustainable Development Goal; water demand; water management; water planning; water resource; water supply; aquaculture; Article; cancer research; climate change; drought stress; ecosystem; eutrophication; food industry; freshwater environment; greenhouse effect; health care cost; health care organization; health care policy; human; life expectancy; low income country; marine environment; middle income country; municipal solid waste; population size; productivity; recycling; seasonal variation; solid waste management; waste water recycling; water availability; water conservation; water insecurity; developing country; environmental protection; population growth; Middle East; North Africa; Sub-Saharan Africa; Indicator indicator; Conservation of Natural Resources; Developing Countries; Ecosystem; Fresh Water; Humans; Population Growth",Article,"Final",Scopus,2-s2.0-85108107822
